"t";"p";"b";"bi";;;
1;15177;1798;13957;;;
2;15479;1630;13838;;;
3;15681;1576;13706;;;
4;15557;1597;13826;;;
5;15359;1714;13915;;;
6;15580;1624;13788;;;
7;15697;1614;13695;;;
8;15613;1682;13729;;;
9;15398;1809;13825;;;
10;15607;1713;13712;;;
11;15722;1718;13599;;;
12;15636;1757;13656;;;
13;15291;1944;13812;;;
14;15530;1812;13692;;;
15;15738;1714;13579;;;
16;15713;1700;13621;;;
17;15573;1846;13613;;;
18;15793;1585;13589;;;
19;16063;1426;13480;;;
20;16018;1410;13543;;;
21;15837;1494;13632;;;
22;15986;1281;13695;;;
23;16234;1232;13496;;;
24;16280;1210;13473;;;
25;16012;1203;13495;;;
26;16182;1066;13462;;;
27;16266;1027;13403;;;
28;16328;958;13410;;;
29;16281;926;13405;;;
30;16496;863;13254;;;
31;16510;818;13251;;;
32;16404;769;13402;;;
33;16344;709;13405;;;
34;16565;617;13246;;;
35;16617;662;13139;;;
36;16409;649;13353;;;
37;16274;666;13365;;;
38;16484;548;13254;;;
39;16619;532;13124;;;
40;16467;486;13313;;;
41;16425;529;13334;;;
42;16274;527;13471;;;
43;16512;561;13192;;;
44;16555;531;13170;;;
